data,quantidade
3/19/2013,222
3/18/2013,224
3/15/2013,219
5/24/2012,224
5/23/2012,225
5/22/2012,253
5/21/2012,208
5/17/2012,234
5/16/2012,233
5/15/2012,238
10/1/2013,220
9/30/2013,216
9/29/2013,26
9/28/2013,13
9/27/2013,162
9/26/2013,175
9/25/2013,194
9/24/2013,186
9/23/2013,185
9/22/2013,18
9/21/2013,10
9/20/2013,166
9/19/2013,213
9/18/2013,233
9/17/2013,178
9/16/2013,166
9/15/2013,22
9/14/2013,13
9/13/2013,150
9/12/2013,210
9/11/2013,182
9/10/2013,184
9/8/2013,23
9/7/2013,8
9/6/2013,174
9/5/2013,198
9/4/2013,173
9/3/2013,76
9/2/2013,194
9/1/2013,20
8/31/2013,21
8/30/2013,167
8/29/2013,116
8/28/2013,213
8/27/2013,212
8/26/2013,206
8/25/2013,20
8/23/2013,168
8/22/2013,183
8/21/2013,199
8/20/2013,161
8/19/2013,171
8/18/2013,17
8/16/2013,161
8/15/2013,190
8/14/2013,254
8/13/2013,158
8/12/2013,173
8/11/2013,21
8/10/2013,13
8/9/2013,163
8/8/2013,215
8/7/2013,200
8/6/2013,180
8/5/2013,185
8/4/2013,14
8/3/2013,8
8/2/2013,138
8/1/2013,210
8/24/2013,3
8/17/2013,7
7/31/2013,181
7/30/2013,187
7/18/2013,159
7/17/2013,186
7/16/2013,181
7/15/2013,171
7/12/2013,148
7/11/2013,172
7/10/2013,217
7/9/2013,152
7/8/2013,180
7/7/2013,24
7/5/2013,114
7/4/2013,159
7/3/2013,157
7/2/2013,153
7/1/2013,165
6/30/2013,9
6/29/2013,6
6/28/2013,167
6/27/2013,189
6/26/2013,155
6/25/2013,200
6/21/2013,141
6/20/2013,178
6/19/2013,174
6/18/2013,169
6/17/2013,147
6/13/2013,184
6/12/2013,210
6/10/2013,199
6/7/2013,166
6/5/2013,234
6/3/2013,169
6/2/2013,15
6/1/2013,20
5/31/2013,153
5/28/2013,211
5/27/2013,142
5/24/2013,142
5/23/2013,203
5/22/2013,219
5/21/2013,194
5/20/2013,187
5/19/2013,17
5/17/2013,165
5/16/2013,222
5/15/2013,233
5/14/2013,252
5/13/2013,189
5/12/2013,23
5/10/2013,178
5/9/2013,238
5/8/2013,263
5/6/2013,186
5/5/2013,17
5/3/2013,169
5/2/2013,225
5/1/2013,65
4/30/2013,224
4/29/2013,248
4/25/2013,237
5/14/2012,181
5/13/2012,47
5/10/2012,255
5/9/2012,236
5/8/2012,219
3/13/2012,198
3/12/2012,158
3/11/2012,25
3/8/2012,199
3/7/2012,214
3/5/2012,181
3/4/2012,28
3/2/2012,138
3/1/2012,250
2/25/2012,37
2/24/2012,168
2/23/2012,189
2/22/2012,132
2/21/2012,99
2/20/2012,85
2/15/2012,236
2/14/2012,216
2/13/2012,240
2/10/2012,235
2/9/2012,262
2/8/2012,202
2/7/2012,214
2/6/2012,259
2/5/2012,37
2/3/2012,172
2/2/2012,240
2/1/2012,246
7/29/2013,156
7/28/2013,16
7/27/2013,17
7/26/2013,129
7/25/2013,181
7/24/2013,189
7/23/2013,188
7/22/2013,167
7/21/2013,23
7/20/2013,15
7/19/2013,142
7/13/2013,9
7/6/2013,17
6/24/2013,150
6/23/2013,15
6/22/2013,14
6/16/2013,23
6/14/2013,173
6/11/2013,186
6/9/2013,26
6/8/2013,18
6/6/2013,209
6/4/2013,165
5/30/2013,76
5/29/2013,205
5/26/2013,20
5/25/2013,9
5/18/2013,11
5/11/2013,11
5/7/2013,233
5/4/2013,10
4/28/2013,25
4/27/2013,30
4/26/2013,183
4/22/2013,171
4/21/2013,20
4/20/2013,13
4/2/2013,219
3/31/2013,32
3/30/2013,18
3/24/2013,35
3/23/2013,28
3/22/2013,162
3/21/2013,220
3/20/2013,238
3/17/2013,44
3/16/2013,23
3/9/2013,17
7/14/2013,20
6/15/2013,6
5/7/2012,224
5/6/2012,41
5/4/2012,196
5/3/2012,237
5/2/2012,208
5/1/2012,113
4/30/2012,178
4/29/2012,57
4/28/2012,39
4/27/2012,172
4/26/2012,241
4/25/2012,251
4/24/2012,230
4/23/2012,211
4/22/2012,50
4/21/2012,32
4/20/2012,207
4/19/2012,223
4/18/2012,254
4/17/2012,288
4/16/2012,209
4/13/2012,199
4/12/2012,198
4/11/2012,174
4/10/2012,223
4/9/2012,181
4/8/2012,27
4/6/2012,58
4/5/2012,162
4/4/2012,189
4/3/2012,250
4/2/2012,201
3/31/2012,36
3/29/2012,231
3/28/2012,191
3/27/2012,190
3/26/2012,201
3/24/2012,17
3/23/2012,185
3/22/2012,197
