DiadaSemana,Mes,Dia,Ano,Jornal,Quantidade,Comentarios,Tweets,Facebook,LinkedIn,GooglePlus,TotalRepercussao
Tue,ABR,11,2000,ESTADAO,0,0,0,0,0,0,0
Wed,ABR,12,2000,G1,0,0,0,0,0,0,0
Wed,ABR,12,2000,FOLHASP,0,0,0,0,0,0,0
Wed,ABR,12,2000,ESTADAO,0,0,0,0,0,0,0
Thu,ABR,13,2000,G1,0,0,0,0,0,0,0
Thu,ABR,13,2000,FOLHASP,0,0,0,0,0,0,0
Thu,ABR,13,2000,ESTADAO,0,0,0,0,0,0,0
Fri,ABR,14,2000,G1,0,0,0,0,0,0,0
Fri,ABR,14,2000,FOLHASP,0,0,0,0,0,0,0
Fri,ABR,14,2000,ESTADAO,0,0,0,0,0,0,0
Sat,ABR,15,2000,G1,0,0,0,0,0,0,0
Sat,ABR,15,2000,FOLHASP,0,0,0,0,0,0,0
Sat,ABR,15,2000,ESTADAO,0,0,0,0,0,0,0
Sun,ABR,16,2000,G1,0,0,0,0,0,0,0
Sun,ABR,16,2000,FOLHASP,0,0,0,0,0,0,0
Sun,ABR,16,2000,ESTADAO,0,0,0,0,0,0,0
Mon,ABR,17,2000,G1,0,0,0,0,0,0,0
Mon,ABR,17,2000,FOLHASP,0,0,0,0,0,0,0
Mon,ABR,17,2000,ESTADAO,0,0,0,0,0,0,0
Tue,ABR,18,2000,G1,0,0,0,0,0,0,0
Tue,ABR,18,2000,FOLHASP,0,0,0,0,0,0,0
Tue,ABR,18,2000,ESTADAO,0,0,0,0,0,0,0
Wed,ABR,19,2000,G1,0,0,0,0,0,0,0
Wed,ABR,19,2000,FOLHASP,0,0,0,0,0,0,0
Wed,ABR,19,2000,ESTADAO,0,0,0,0,0,0,0
Thu,ABR,20,2000,G1,0,0,0,0,0,0,0
Thu,ABR,20,2000,FOLHASP,20,0,0,0,0,0,0
Thu,ABR,20,2000,ESTADAO,0,0,0,0,0,0,0
Fri,ABR,21,2000,G1,0,0,0,0,0,0,0
Fri,ABR,21,2000,FOLHASP,9,0,0,1,0,0,1
Fri,ABR,21,2000,ESTADAO,0,0,0,0,0,0,0
Sat,ABR,22,2000,G1,0,0,0,0,0,0,0
Sat,ABR,22,2000,FOLHASP,7,0,0,0,0,0,0
Sat,ABR,22,2000,ESTADAO,0,0,0,0,0,0,0
Sun,ABR,23,2000,G1,0,0,0,0,0,0,0
Sun,ABR,23,2000,FOLHASP,5,0,0,0,0,0,0
Sun,ABR,23,2000,ESTADAO,0,0,0,0,0,0,0
Mon,ABR,24,2000,G1,0,0,0,0,0,0,0
Mon,ABR,24,2000,FOLHASP,0,0,0,0,0,0,0
Mon,ABR,24,2000,ESTADAO,0,0,0,0,0,0,0
Tue,ABR,25,2000,G1,0,0,0,0,0,0,0
Tue,ABR,25,2000,FOLHASP,44,0,0,0,0,0,0
Tue,ABR,25,2000,ESTADAO,0,0,0,0,0,0,0
Wed,ABR,26,2000,G1,0,0,0,0,0,0,0
Wed,ABR,26,2000,FOLHASP,0,0,0,0,0,0,0
Wed,ABR,26,2000,ESTADAO,0,0,0,0,0,0,0
Thu,ABR,27,2000,G1,0,0,0,0,0,0,0
Thu,ABR,27,2000,FOLHASP,4,0,0,0,0,0,0
Thu,ABR,27,2000,ESTADAO,0,0,0,0,0,0,0
Fri,ABR,28,2000,G1,0,0,0,0,0,0,0
Fri,ABR,28,2000,FOLHASP,8,0,0,0,0,0,0
Fri,ABR,28,2000,ESTADAO,0,0,0,0,0,0,0
Sat,ABR,29,2000,G1,0,0,0,0,0,0,0
Sat,ABR,29,2000,FOLHASP,1,0,0,0,0,0,0
Sat,ABR,29,2000,ESTADAO,0,0,0,0,0,0,0
Sun,ABR,30,2000,G1,0,0,0,0,0,0,0
Sun,ABR,30,2000,FOLHASP,9,0,0,0,0,0,0
Sun,ABR,30,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAI,1,2000,G1,0,0,0,0,0,0,0
Mon,MAI,1,2000,FOLHASP,27,0,0,0,0,0,0
Mon,MAI,1,2000,ESTADAO,0,0,0,0,0,0,0
