data,quantidade
6/19/2011,6
6/17/2011,63
6/16/2011,52
6/15/2011,63
6/12/2011,4
6/11/2011,5
6/10/2011,36
6/9/2011,37
6/8/2011,35
6/7/2011,39
6/6/2011,43
6/3/2011,37
6/2/2011,40
6/1/2011,45
5/31/2011,44
5/30/2011,29
5/27/2011,35
5/26/2011,44
5/25/2011,46
5/24/2011,47
5/23/2011,34
5/22/2011,4
5/21/2011,6
5/20/2011,34
5/19/2011,35
5/18/2011,40
5/17/2011,38
5/16/2011,44
5/15/2011,5
5/14/2011,10
5/13/2011,36
5/12/2011,44
5/11/2011,38
5/10/2011,43
5/9/2011,37
5/8/2011,4
5/6/2011,37
5/5/2011,37
5/4/2011,49
5/3/2011,40
5/2/2011,37
4/30/2011,9
4/29/2011,46
4/28/2011,63
4/27/2011,48
4/26/2011,43
4/25/2011,32
4/23/2011,4
4/21/2011,12
4/20/2011,31
4/19/2011,37
4/18/2011,43
4/17/2011,11
4/16/2011,10
4/15/2011,31
4/14/2011,34
4/13/2011,43
4/12/2011,39
4/11/2011,33
4/9/2011,4
4/8/2011,34
4/7/2011,46
4/6/2011,41
4/5/2011,44
4/4/2011,37
4/3/2011,9
4/2/2011,7
4/1/2011,44
3/31/2011,42
3/30/2011,40
3/29/2011,40
3/28/2011,48
3/25/2011,37
3/24/2011,53
3/23/2011,40
3/22/2011,38
3/21/2011,48
3/20/2011,16
3/19/2011,12
3/18/2011,40
3/17/2011,54
3/16/2011,63
3/15/2011,47
3/14/2011,51
3/12/2011,9
3/11/2011,34
3/10/2011,48
3/9/2011,32
3/8/2011,26
3/7/2011,28
3/6/2011,15
3/5/2011,7
3/4/2011,37
3/3/2011,60
3/2/2011,64
3/1/2011,58
2/28/2011,53
2/27/2011,16
2/25/2011,59
2/24/2011,64
2/23/2011,52
2/22/2011,57
2/21/2011,43
2/20/2011,12
2/18/2011,38
2/17/2011,50
2/16/2011,52
2/15/2011,51
2/14/2011,48
2/12/2011,7
2/11/2011,41
2/10/2011,61
2/9/2011,59
2/8/2011,48
2/7/2011,48
2/6/2011,11
2/4/2011,56
2/3/2011,47
2/2/2011,54
2/1/2011,51
1/31/2011,51
1/29/2011,12
1/28/2011,52
1/27/2011,71
1/26/2011,65
1/25/2011,46
1/24/2011,41
1/23/2011,14
1/21/2011,42
1/20/2011,42
1/19/2011,56
1/18/2011,51
1/17/2011,38
1/16/2011,14
1/15/2011,8
1/14/2011,51
1/13/2011,47
1/12/2011,40
1/11/2011,45
1/10/2011,52
1/9/2011,11
1/7/2011,43
1/6/2011,50
1/5/2011,43
1/4/2011,46
1/3/2011,46
1/2/2011,14
12/31/2010,30
12/30/2010,45
12/29/2010,45
12/28/2010,44
12/27/2010,34
12/26/2010,9
12/25/2010,4
12/24/2010,19
12/23/2010,33
12/22/2010,42
12/21/2010,47
12/20/2010,43
12/19/2010,14
12/18/2010,14
12/17/2010,45
12/16/2010,54
12/15/2010,56
12/14/2010,56
12/13/2010,71
12/12/2010,23
12/10/2010,56
12/9/2010,59
12/8/2010,50
12/7/2010,48
12/6/2010,54
12/5/2010,14
12/4/2010,14
12/3/2010,48
12/2/2010,60
12/1/2010,61
11/30/2010,48
11/29/2010,46
11/28/2010,20
11/27/2010,12
11/26/2010,49
11/25/2010,52
11/24/2010,65
11/23/2010,52
