"setor","datahora","media","negocios","quantidade_papeis","volume_financeiro"
"Bens Industriais",20090825,5.27,2700,2095500,19027874
"Bens Industriais",20090826,5.45,4152,2781900,27066966
"Bens Industriais",20090827,5.72,3663,3471900,34624286
"Bens Industriais",20090828,5.50,2732,2386100,22744463
"Bens Industriais",20090831,6.03,2375,2135600,20856094
"Bens Industriais",20090901,6.02,3313,2481800,22795893
"Bens Industriais",20090902,5.39,2767,2913600,25239954
"Bens Industriais",20090903,5.37,2508,2729100,22981361
"Bens Industriais",20090904,5.79,2819,2706900,25960450
"Bens Industriais",20090908,5.86,3529,3316400,33169120
"Bens Industriais",20090909,5.77,2763,3720700,32035086
"Bens Industriais",20090910,5.83,3812,4093500,39877951
"Bens Industriais",20090911,5.90,2788,3184800,30836108
"Bens Industriais",20090914,5.80,2316,1716300,17393155
"Bens Industriais",20090915,5.92,1651,1847600,17942677
"Bens Industriais",20090916,5.56,2798,2840800,25570588
"Bens Industriais",20090917,5.76,1808,2213200,21253386
"Bens Industriais",20090918,5.43,2141,2138200,20782503
"Bens Industriais",20090921,5.40,2276,1861200,16860008
"Bens Industriais",20090922,5.54,4550,6100700,57000864
"Bens Industriais",20090923,5.70,5310,8902300,84658319
"Bens Industriais",20090924,5.59,3888,3626200,35388896
"Bens Industriais",20090925,5.59,3692,3762500,37924724
"Bens Industriais",20090928,5.48,3010,2523100,24948668
"Bens Industriais",20090929,5.46,4615,4882400,44201554
"Bens Industriais",20090930,5.36,5196,4801100,48157516
"Bens Industriais",20091001,5.74,5155,3321100,32903435
"Bens Industriais",20091002,5.50,8042,7040000,68655158
"Bens Industriais",20091005,5.73,3440,3350200,32658473
"Bens Industriais",20091006,5.31,4577,4707300,44102021
"Bens Industriais",20091007,5.39,5432,4919400,46703260
"Bens Industriais",20091008,5.50,3835,3600600,35654483
"Bens Industriais",20091009,5.48,4151,4365400,43491983
"Bens Industriais",20091013,5.30,3130,3061300,29274651
"Bens Industriais",20091014,5.41,5774,3844200,37419419
"Bens Industriais",20091015,5.26,5010,5987400,58868406
"Bens Industriais",20091016,5.41,4298,4051400,37858023
"Bens Industriais",20091019,5.26,3842,4203600,38030446
"Bens Industriais",20091020,5.33,3583,3726500,34421160
"Bens Industriais",20091021,5.36,2857,3930500,37921447
"Bens Industriais",20091022,5.52,3117,3419800,34233853
"Bens Industriais",20091023,5.46,4067,4361200,43375521
"Bens Industriais",20091026,5.51,3271,5133800,50455820
"Bens Industriais",20091027,5.20,3495,4286000,37451893
"Bens Industriais",20091028,5.20,4943,5591100,51386514
"Bens Industriais",20091029,5.53,2679,4155500,35251154
"Bens Industriais",20091030,4.90,12208,14696100,132542881
"Bens Industriais",20091103,4.85,4870,7501500,62184401
"Bens Industriais",20091104,4.78,7362,6583300,57148693
"Bens Industriais",20091105,4.69,6148,5168800,43832267
"Bens Industriais",20091106,4.78,3320,6948100,59142715
"Bens Industriais",20091109,4.81,3240,3879000,33175926
"Bens Industriais",20091110,4.79,4690,5049300,44723269
"Bens Industriais",20091111,4.73,3978,5295700,45936585
"Bens Industriais",20091112,4.79,3947,6442600,49095259
"Bens Industriais",20091113,4.94,2645,3367500,28389876
"Bens Industriais",20091116,4.97,1793,2221700,19018873
"Bens Industriais",20091117,4.74,3073,4215200,36778760
"Bens Industriais",20091118,5.24,2742,3244000,28471523
"Bens Industriais",20091119,4.78,3545,4749500,40742262
"Bens Industriais",20091123,4.78,2431,2663700,22460267
"Bens Industriais",20091124,4.86,2269,2743700,22873141
"Bens Industriais",20091125,4.64,4049,3681700,29640538
"Bens Industriais",20091126,4.66,2692,2695200,22051635
"Bens Industriais",20091127,4.80,1965,2369200,19627270
"Bens Industriais",20091130,4.71,2572,3888200,33220165
"Bens Industriais",20091201,4.77,3097,4114800,34318522
"Bens Industriais",20091202,4.65,4051,4284000,34987365
"Bens Industriais",20091203,4.80,3450,3741000,31345937
"Bens Industriais",20091204,4.90,2131,2021800,16999712
"Bens Industriais",20091207,4.68,2157,1930900,16129001
"Bens Industriais",20091208,5.02,2782,3751900,32437437
"Bens Industriais",20091209,4.80,2448,3544800,30581697
"Bens Industriais",20091210,4.93,1738,2202900,19299742
"Bens Industriais",20091211,5.05,8475,13780000,129965959
