DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu,classes
Mon,MAI,8,2006,ESTADAO,14,0,0,0,0,0,0,10,1,3,Levemente Bom
Tue,MAI,9,2006,ESTADAO,26,0,0,0,0,0,0,23,0,3,Bom
Wed,MAI,10,2006,ESTADAO,33,0,0,0,0,0,0,23,5,5,Levemente Ruim
Thu,MAI,11,2006,ESTADAO,35,0,0,0,0,0,0,23,8,4,Pessimo
Fri,MAI,12,2006,ESTADAO,18,0,0,0,0,0,0,12,4,2,Ruim
Mon,MAI,15,2006,ESTADAO,23,0,0,0,0,0,0,18,1,4,Pessimo
Tue,MAI,16,2006,ESTADAO,29,0,0,0,0,0,0,20,5,4,Levemente Bom
Wed,MAI,17,2006,ESTADAO,20,0,0,0,0,0,0,15,4,1,Pessimo
Thu,MAI,18,2006,ESTADAO,27,0,0,0,0,0,0,17,7,3,Ruim
Fri,MAI,19,2006,ESTADAO,28,0,0,0,0,0,0,18,6,4,Levemente Ruim
Mon,MAI,22,2006,ESTADAO,26,0,0,0,0,0,0,16,5,5,Pessimo
Tue,MAI,23,2006,ESTADAO,35,0,0,0,0,0,0,22,5,8,Ruim
Wed,MAI,24,2006,ESTADAO,43,0,0,0,0,0,0,25,9,9,Levemente Ruim
Thu,MAI,25,2006,ESTADAO,27,0,0,0,0,0,0,26,0,1,Otimo
Fri,MAI,26,2006,ESTADAO,34,0,0,0,0,0,0,19,11,4,Otimo
Mon,MAI,29,2006,ESTADAO,25,0,0,0,0,0,0,19,5,1,Ruim
Tue,MAI,30,2006,ESTADAO,31,0,0,0,0,0,0,25,5,1,Pessimo
Wed,MAI,31,2006,ESTADAO,48,0,0,0,0,0,0,41,5,2,Levemente Bom
Thu,JUN,1,2006,ESTADAO,43,0,0,0,0,0,0,38,2,3,Otimo
Fri,JUN,2,2006,ESTADAO,40,0,0,0,0,0,0,35,2,3,Levemente Bom
Mon,JUN,5,2006,ESTADAO,46,0,0,0,0,0,0,38,1,7,Pessimo
Tue,JUN,6,2006,ESTADAO,27,0,0,0,0,0,0,20,1,6,Levemente Ruim
Wed,JUN,7,2006,ESTADAO,39,0,0,0,0,0,0,28,3,8,Pessimo
Thu,JUN,8,2006,ESTADAO,27,0,0,0,0,0,0,20,3,4,Levemente Bom
Fri,JUN,9,2006,ESTADAO,24,0,0,0,0,0,0,19,3,2,Ruim
Mon,JUN,12,2006,ESTADAO,15,0,0,0,0,0,0,12,3,0,Pessimo
Tue,JUN,13,2006,ESTADAO,26,0,0,2,0,0,2,16,7,3,Pessimo
Wed,JUN,14,2006,ESTADAO,23,0,0,0,0,0,0,15,5,3,Levemente Bom
Fri,JUN,16,2006,ESTADAO,4,0,0,0,0,0,0,3,1,0,Otimo
Mon,JUN,19,2006,ESTADAO,19,0,0,0,0,0,0,16,2,1,Ruim
Tue,JUN,20,2006,ESTADAO,36,0,0,0,0,0,0,31,3,2,Levemente Ruim
Wed,JUN,21,2006,ESTADAO,26,0,0,0,0,0,0,21,2,3,Otimo
Thu,JUN,22,2006,ESTADAO,20,0,0,0,0,0,0,14,2,4,Levemente Ruim
Fri,JUN,23,2006,ESTADAO,26,0,0,0,0,0,0,20,1,5,Bom
Mon,JUN,26,2006,ESTADAO,28,0,0,0,0,0,0,18,2,8,Levemente Ruim
Tue,JUN,27,2006,ESTADAO,13,0,0,0,0,0,0,11,2,0,Levemente Ruim
Wed,JUN,28,2006,ESTADAO,29,0,0,0,0,0,0,19,4,6,Bom
Thu,JUN,29,2006,ESTADAO,38,0,0,0,0,0,0,33,2,3,Otimo
Fri,JUN,30,2006,ESTADAO,34,0,0,0,0,0,0,24,8,2,Levemente Bom
Mon,JUL,3,2006,ESTADAO,36,0,0,0,0,0,0,30,2,4,Bom
Tue,JUL,4,2006,ESTADAO,17,0,0,0,0,0,0,11,0,6,Levemente Bom
Wed,JUL,5,2006,ESTADAO,42,0,0,0,0,0,0,27,7,8,Pessimo
Thu,JUL,6,2006,ESTADAO,34,0,0,0,0,0,0,24,4,6,Levemente Bom
Fri,JUL,7,2006,ESTADAO,32,0,0,0,0,0,0,22,4,6,Ruim
Mon,JUL,10,2006,ESTADAO,23,0,0,0,0,0,0,17,2,4,Levemente Bom
Tue,JUL,11,2006,ESTADAO,34,0,0,0,0,0,0,17,7,10,Bom
Wed,JUL,12,2006,ESTADAO,34,0,0,0,0,0,0,15,7,12,Levemente Ruim
Thu,JUL,13,2006,ESTADAO,30,0,0,0,0,0,0,22,5,3,Pessimo
Fri,JUL,14,2006,ESTADAO,20,0,0,0,0,0,0,14,4,2,Levemente Ruim
Mon,JUL,17,2006,ESTADAO,18,0,0,0,0,0,0,13,3,2,Ruim
Tue,JUL,18,2006,ESTADAO,25,0,0,0,0,0,0,15,6,4,Levemente Bom
Wed,JUL,19,2006,ESTADAO,31,0,0,0,0,0,0,21,4,6,Otimo
Thu,JUL,20,2006,ESTADAO,21,0,0,0,0,0,0,17,4,0,Pessimo
Fri,JUL,21,2006,ESTADAO,22,0,0,0,0,0,0,15,2,5,Levemente Ruim
Mon,JUL,24,2006,ESTADAO,19,0,0,0,0,0,0,10,5,4,Otimo
Tue,JUL,25,2006,ESTADAO,27,0,0,0,0,0,0,25,1,1,Bom
Wed,JUL,26,2006,ESTADAO,27,0,0,0,0,0,0,23,1,3,Levemente Ruim
Thu,JUL,27,2006,ESTADAO,35,0,0,0,0,0,0,32,1,2,Levemente Bom
Fri,JUL,28,2006,ESTADAO,23,0,0,0,0,0,0,19,2,2,Bom
Mon,JUL,31,2006,ESTADAO,21,0,0,1,0,0,1,20,1,0,Levemente Ruim
Tue,AGO,1,2006,ESTADAO,28,0,0,0,0,0,0,23,4,1,Levemente Ruim
Wed,AGO,2,2006,ESTADAO,22,0,0,0,0,0,0,17,3,2,Bom
Thu,AGO,3,2006,ESTADAO,37,0,0,0,0,0,0,31,1,5,Levemente Bom
Fri,AGO,4,2006,ESTADAO,35,0,0,0,0,0,0,26,4,5,Bom
